IATA_Code,Airport,City
ZEM,East Main,Matagami
ZEN,Zenag,Bulolo
ZER,Zero,Ziro
ZFA,Faro,Whitehorse
ZFB,Old Fort Bay,
ZFD,Fond-du-Lac Airport,Fond du Lac
ZFL,South Trout Lake,
ZFM,Fort Mcpherson,Fort McPherson
ZFN,Tulita,Norman Wells
ZFU,Aruja,Aruja
ZFW,Fairview,Fairview
ZFZ,Buffalo Depew Rr,
ZGF,Grand Forks,Grand Forks
ZGI,Gods River Airport,
ZGL,South Galway,Innamincka
ZGM,Ngoma,Namwala
ZGR,Little Grand Rapids,Lac du Bonnet
ZGS,Gethsemani,
ZGU,Gaua,Sola
ZGY,Kuching Port,Gurun
ZHA,Zhanjiang Airport,Haitou
ZHI,Grenchen,Grenchen
ZHM,Shamshernagar,Kailashahar
ZHP,High Prairie,High Prairie
ZHY,Zhongwei Airport,
ZIA,Zhukovsky International Airport,Zhukovskiy
ZIC,Victoria,Victoria
ZIE,Harbour (Eolie Island),Santa Marina Salina
ZIG,Ziguinchor,Ziguinchor
ZIH,Ixtapa/Zihuatanejo Internacional Airport,Colonia Aeropuerto
ZIP,Harbour (Eolie Island),Emtmannsberg
ZIS,Alzintan Airport,Az Zintan
ZIX,Zhigansk Airport,Zhigansk
ZIZ,Zamzama,Johi
ZJG,Jenpeg,Thompson
ZJN,Swan River,Swan River
ZJT,Tanjung Pelepas Port,Pekan Nenas
ZKB,Kasaba Bay,Mpulungu
ZKE,Kaschechewan,Kapuskasing
ZKG,Kegaska,Havre-Saint-Pierre
ZKL,Steenkool,Bintuni
ZKM,Sette Cama,Gamba
ZKP,Zyryanka Airport,Zyryanka
ZLG,El Gouera,Nouadhibou
ZLO,Manzanillo Airport,Manzanillo
ZLT,La Tabatiere,
ZLW,Pasir Gudang Port,Kampung Pasir Gudang Baru
ZLX,Zalingei Airport,Zalingei
ZMD,Sena Madureira,Sena Madureira
ZMH,South Cariboo Regional Airport,Williams Lake
ZML,Milwaukee General Mitchell,Milwaukee
ZMM,Zamora,Fraccionamiento Monte Olivo
ZMT,Masset Airport,Metlakatla
ZMY,Harbour,Meicheng
ZNA,Nanaimo Harbour,Ladysmith
ZNC,Nyac,Bethel
ZND,Zinder,Zinder
ZNE,Newman Airport,Newman
ZNU,Namu,
ZNZ,Zanzibar International Airport,Zanzibar
ZOF,Ocean Falls,Kitimat
ZOS,Canal Bajo Airport,Osorno
ZPB,Sachigo Lake Airport,
ZPC,Pucon,San Martin de los Andes
